CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
HLF_LIVER,HLF,Nilotinib,ABL,8.0
HMC18_BREAST,HMC-1-8,Nilotinib,ABL,8.0
HMCB_SKIN,HMCB,Nilotinib,ABL,7.181233406
HOS_BONE,HOS,Nilotinib,ABL,8.0
HPAC_PANCREAS,HPAC,Nilotinib,ABL,7.072412014
HS229T_LUNG,Hs 229.T,Nilotinib,ABL,8.0
HS294T_SKIN,Hs 294T,Nilotinib,ABL,8.0
HS578T_BREAST,Hs 578T,Nilotinib,ABL,8.0
HS683_CENTRAL_NERVOUS_SYSTEM,Hs 683,Nilotinib,ABL,8.0
HS695T_SKIN,Hs 695T,Nilotinib,ABL,8.0
HS739T_BREAST,Hs 739.T,Nilotinib,ABL,8.0
HS746T_STOMACH,Hs 746T,Nilotinib,ABL,6.016578197
HS766T_PANCREAS,Hs 766T,Nilotinib,ABL,8.0
HS840T_UPPER_AERODIGESTIVE_TRACT,Hs 840.T,Nilotinib,ABL,8.0
HS852T_SKIN,Hs 852.T,Nilotinib,ABL,7.286914825
HS895T_SKIN,Hs 895.T,Nilotinib,ABL,4.720332146
HS936T_SKIN,Hs 936.T,Nilotinib,ABL,8.0
HS939T_SKIN,Hs 939.T,Nilotinib,ABL,7.080129623
HS944T_SKIN,Hs 944.T,Nilotinib,ABL,8.0
HSC2_UPPER_AERODIGESTIVE_TRACT,HSC-2,Nilotinib,ABL,8.0
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT,Nilotinib,ABL,8.0
HT1197_URINARY_TRACT,HT-1197,Nilotinib,ABL,8.0
HT1376_URINARY_TRACT,HT-1376,Nilotinib,ABL,8.0
HT144_SKIN,HT-144,Nilotinib,ABL,4.633401871
HT29_LARGE_INTESTINE,HT-29,Nilotinib,ABL,8.0
HUCCT1_BILIARY_TRACT,HuCCT1,Nilotinib,ABL,8.0
HUH1_LIVER,huH-1,Nilotinib,ABL,8.0
HUPT3_PANCREAS,HUP-T3,Nilotinib,ABL,8.0
HUPT4_PANCREAS,HUP-T4,Nilotinib,ABL,5.09538269
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HuT 78,Nilotinib,ABL,0.426970909
IALM_LUNG,IA-LM,Nilotinib,ABL,8.0
IGR37_SKIN,IGR-37,Nilotinib,ABL,8.0
IGR39_SKIN,IGR-39,Nilotinib,ABL,8.0
IGROV1_OVARY,IGROV1,Nilotinib,ABL,8.0
IM95_STOMACH,IM95,Nilotinib,ABL,8.0
IMR32_AUTONOMIC_GANGLIA,IMR-32,Nilotinib,ABL,8.0
IPC298_SKIN,IPC-298,Nilotinib,ABL,8.0
ISTMES1_PLEURA,IST-MES1,Nilotinib,ABL,0.893207331
ISTMES2_PLEURA,IST-MES2,Nilotinib,ABL,3.565156339
JHH2_LIVER,JHH-2,Nilotinib,ABL,8.0
JHH4_LIVER,JHH-4,Nilotinib,ABL,8.0
JHH6_LIVER,JHH-6,Nilotinib,ABL,8.0
JHOS2_OVARY,JHOS-2,Nilotinib,ABL,8.0
JHOS4_OVARY,JHOS-4,Nilotinib,ABL,4.287676811
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JM1,Nilotinib,ABL,7.700304031
JMSU1_URINARY_TRACT,JMSU-1,Nilotinib,ABL,5.011620998
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURKAT,Nilotinib,ABL,8.0
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM-3,Nilotinib,ABL,2.293517775
K029AX_SKIN,K029AX,Nilotinib,ABL,8.0
KALS1_CENTRAL_NERVOUS_SYSTEM,KALS-1,Nilotinib,ABL,8.0
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-299,Nilotinib,ABL,8.0
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-422,Nilotinib,ABL,8.0
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-620,Nilotinib,ABL,8.0
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI-2,Nilotinib,ABL,7.463879585
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL-22,Nilotinib,ABL,0.013746729
KE39_STOMACH,KE-39,Nilotinib,ABL,4.791784763
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE-97,Nilotinib,ABL,8.0
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG-1,Nilotinib,ABL,8.0
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KHM-1B,Nilotinib,ABL,2.321830997
KLE_ENDOMETRIUM,KLE,Nilotinib,ABL,8.0
KMBC2_URINARY_TRACT,KMBC-2,Nilotinib,ABL,8.0
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMM-1,Nilotinib,ABL,2.917067289
KMRC1_KIDNEY,KMRC-1,Nilotinib,ABL,8.0
KMRC2_KIDNEY,KMRC-2,Nilotinib,ABL,8.0
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS-11,Nilotinib,ABL,4.221470356
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS-12-BM,Nilotinib,ABL,8.0
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS-26,Nilotinib,ABL,6.001347065
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS-34,Nilotinib,ABL,3.499485731
KNS42_CENTRAL_NERVOUS_SYSTEM,KNS-42,Nilotinib,ABL,8.0
KNS60_CENTRAL_NERVOUS_SYSTEM,KNS-60,Nilotinib,ABL,8.0
KNS81_CENTRAL_NERVOUS_SYSTEM,KNS-81,Nilotinib,ABL,8.0
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KO52,Nilotinib,ABL,8.0
KP1N_PANCREAS,KP-1N,Nilotinib,ABL,8.0
KP1NL_PANCREAS,KP-1NL,Nilotinib,ABL,8.0
KP2_PANCREAS,KP-2,Nilotinib,ABL,8.0
KP3_PANCREAS,KP-3,Nilotinib,ABL,8.0
KP4_PANCREAS,KP4,Nilotinib,ABL,8.0
KPNSI9S_AUTONOMIC_GANGLIA,KP-N-SI9s,Nilotinib,ABL,5.412808418
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812,Nilotinib,ABL,0.016822226
KURAMOCHI_OVARY,KURAMOCHI,Nilotinib,ABL,8.0
KYSE30_OESOPHAGUS,KYSE-30,Nilotinib,ABL,8.0
KYSE410_OESOPHAGUS,KYSE-410,Nilotinib,ABL,5.128837109
KYSE520_OESOPHAGUS,KYSE-520,Nilotinib,ABL,6.504006386
L33_PANCREAS,L3.3,Nilotinib,ABL,8.0
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-363,Nilotinib,ABL,8.0
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-428,Nilotinib,ABL,6.550229549
LC1SQSF_LUNG,LC-1/sq-SF,Nilotinib,ABL,8.0
LCLC103H_LUNG,LCLC-103H,Nilotinib,ABL,8.0
LN18_CENTRAL_NERVOUS_SYSTEM,LN-18,Nilotinib,ABL,8.0
LN229_CENTRAL_NERVOUS_SYSTEM,LN-229,Nilotinib,ABL,6.401216984
LOUNH91_LUNG,LOU-NH91,Nilotinib,ABL,8.0
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP-1,Nilotinib,ABL,4.030470371
